Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Kıl Kurdu Enfeksiyonu,anüs veya vajina çevresinde kaşıntı,huzursuz uyku,sinirlilik,anal veya vajinal akıntı,karın ağrısı veya rahatsızlık
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Bronşit,nefes darlığı,öksürük,hırıltı,mukus üretimi,göğüs ağrısı
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Panik Atak,nefes darlığı,çarpıntı hissi,göğüs ağrısı,terlemek,titreme
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Koroner Arterioskleroz,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
İshal,ishal,sulu dışkı,,,
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Soğuk Algınlığı,burun akması,tıkanıklık,öksürük,balgam,boğaz tahrişi
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Osteomiyelit,ağrı,kızarıklık,prostat hassaslığı,ateş,idrarı yapma zorluğu
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Karsinom,vücut yapısının büyümesi,ağrı,doku bozukluğu,tümör hücresinin yayılması,kalınlaşmak
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Pankreatit,kusma,karın ağrısı,mide bulantısı,ağrı,ishal
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Solunum Yetmezliği,nefes darlığı,hemipleji,horlama,tepkisizlik,balgamlı öksürük
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Böbrek Yetmezliği,nefes darlığı,yorgunluk,dik durma haricinde nefes darlığı,idrar tutamama,tansiyon düşüklüğü
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Yüksek Ateş,yüksek vücut ısısı,,,,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Kötü Huylu Kolon Tümörü,doku bozukluğu,prostatizm,kabızlık,genel rahatsızlık,ishal
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
